id,title,tags
7451,xXx,"Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi. Action Adventure Thriller Crime Drama UnitedStatesofAmerica VinDiesel AsiaArgento MartonCsokas SamuelL.Jackson mission biologicalweapon sportscar coldwar prague,czechrepublic nsaagent adrenalinejunkie thrillseeker"
1412598,Killer Whale,Follows best friends Maddie and Trish as they find themselves trapped in a remote lagoon with the dangerous killer whale named Ceto. Thriller Horror Action Mystery Science Fiction Australia UnitedStatesofAmerica UnitedKingdom VirginiaGardner MelJarnson MitchellHope IsaacCrawley biting survivalhorror killerwhale orca aquatichorror absurd strandedatsea
1252037,The Tank,"A German Tiger tank crew is sent on a dangerous mission to rescue the missing officer Paul von Hardenburg from a top-secret bunker behind enemy lines. As they make their way through the lethal no-man's land, they must confront not only the enemy, but also their own fears and inner demons. Fueled by the Wehrmacht's methamphetamine, their mission increasingly becomes a journey into the heart of darkness. War Action Drama Germany LaurenceRupp DavidSchütter SebastianUrzendowsky LeonardKunz worldwarii tank antiwar 1940s gloomy easternfront meth"
425274,Now You See Me: Now You Don't,"The original Four Horsemen reunite with a new generation of illusionists to take on powerful diamond heiress Veronika Vanderberg, who leads a criminal empire built on money laundering and trafficking. The new and old magicians must overcome their differences to work together on their most ambitious heist yet. Thriller Crime Mystery UnitedStatesofAmerica JesseEisenberg DominicSessa ArianaGreenblatt JusticeSmith diamond antwerp sequel heist diamondheist illusionist teamup"
1054867,One Battle After Another,"Washed-up revolutionary Bob exists in a state of stoned paranoia, surviving off-grid with his spirited, self-reliant daughter, Willa. When his evil nemesis resurfaces after 16 years and she goes missing, the former radical scrambles to find her, father and daughter both battling the consequences of his past. Thriller Crime Action UnitedStatesofAmerica LeonardoDiCaprio SeanPenn ChaseInfiniti BeniciodelToro rebellion basedonnovelorbook resistance usa–mexicoborder riot interracialrelationship ontherun xenophobia aftercreditsstinger missingdaughter whitesupremacy anti-fascism fatherdaughterrelationship revolutionaries africanamerican anti-racism immigrationdetentioncenter"
628847,Trap House,"An undercover DEA agent and his partner embark on a game of cat and mouse with an audacious, and surprising group of thieves - their own rebellious teenagers, who have begun robbing from a dangerous cartel, using their parents' tactics and top-secret intel to do it. Action Crime Thriller UnitedKingdom UnitedStatesofAmerica DaveBautista JackChampion SophiaLillis WhitneyPeak"
24428,The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins! Science Fiction Action Adventure UnitedStatesofAmerica RobertDowneyJr. ChrisEvans MarkRuffalo ChrisHemsworth newyorkcity superhero shield basedoncomic alieninvasion superheroteam aftercreditsstinger duringcreditsstinger marvelcinematicuniverse(mcu)"
1317288,Marty Supreme,"Marty Mauser, a young man with a dream no one respects, goes to hell and back in pursuit of greatness. Drama UnitedStatesofAmerica TimothéeChalamet GwynethPaltrow OdessaA'zion KevinO'Leary newyorkcity sports capitalism pregnancy hustler pingpong tokyo,japan pregnantwoman characterstudy scheming 1950s dedication americanbusinessman jewish tabletennis"
1233413,Sinners,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back. Horror Action Thriller UnitedStatesofAmerica MichaelB.Jordan HaileeSteinfeld MilesCaton JackO'Connell chicago,illinois capitalism kukluxklan musician immortality vampire surrealism sin alcoholism vampirehunter(slayer) church twins blunt estrangedwife dualrole cousinrelationship deathofdaughter bluesmusic aftercreditsstinger klansmen 1990s 1930s salvation assimilation chineseimmigrant brotherbrotherrelationship southerngothic afro-descendants cousins supernaturalhorror playful trainstation mississippi frightened"
803796,KPop Demon Hunters,"When K-pop superstars Rumi, Mira and Zoey aren't selling out stadiums, they're using their secret powers to protect their fans from supernatural threats. Fantasy Music Comedy Animation UnitedStatesofAmerica ArdenCho MayHong Ji-youngYoo AhnHyo-seop doublelife loyalty supernatural musical femalefriendship femaleprotagonist demon self-doubt sing-along girlpower duringcreditsstinger demonhunter girlgroup boyband fandom k-pop actioncomedy foundfamily southkorea 3danimation halfdemon savetheworld self-redemption k-popgroup trio"
